ALD;NU;MT
348,6208892254704;759332,5;2124,0
344,72031990556394;753244,5;2124,0
341,5155832446331;750660,0;2124,0
344,7470420956224;750087,0;2124,0
341,14865385715234;758007,5;2124,0
348,1501221470777;766065,5;2124,0
338,4366527296983;741907,0;2124,0
336,81282666936636;737045,0;2124,0
343,48981943305836;752407,5;2124,0
343,4743487821572;765335,5;2124,0
342,85639275908073;749261,0;2124,0
345,736418668339;758124,5;2124,0
343,85921165875334;749764,5;2124,0
344,8062998818227;754675,0;2124,0
340,34691888905104;755786,0;2124,0
